City,Beach,Date,Enterococcus
BERTIOGA,BORACÉIA - COL. MARISTA,2018-01-07,67
BERTIOGA,BORACÉIA - COL. MARISTA,2018-01-14,12
BERTIOGA,BORACÉIA - COL. MARISTA,2018-01-21,2
BERTIOGA,BORACÉIA - COL. MARISTA,2018-01-28,67
BERTIOGA,BORACÉIA - COL. MARISTA,2018-02-04,31
BERTIOGA,BORACÉIA - COL. MARISTA,2018-02-11,2
BERTIOGA,BORACÉIA - COL. MARISTA,2018-02-18,3
BERTIOGA,BORACÉIA - COL. MARISTA,2018-02-25,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-03-04,3
BERTIOGA,BORACÉIA - COL. MARISTA,2018-03-11,4
BERTIOGA,BORACÉIA - COL. MARISTA,2018-03-18,3
BERTIOGA,BORACÉIA - COL. MARISTA,2018-03-25,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-04-01,3
BERTIOGA,BORACÉIA - COL. MARISTA,2018-04-08,2
BERTIOGA,BORACÉIA - COL. MARISTA,2018-04-15,104
BERTIOGA,BORACÉIA - COL. MARISTA,2018-04-22,2
BERTIOGA,BORACÉIA - COL. MARISTA,2018-04-29,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-05-06,3
BERTIOGA,BORACÉIA - COL. MARISTA,2018-05-13,83
BERTIOGA,BORACÉIA - COL. MARISTA,2018-05-20,6
BERTIOGA,BORACÉIA - COL. MARISTA,2018-05-27,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-06-03,48
BERTIOGA,BORACÉIA - COL. MARISTA,2018-06-10,2
BERTIOGA,BORACÉIA - COL. MARISTA,2018-06-17,29
BERTIOGA,BORACÉIA - COL. MARISTA,2018-06-24,35
BERTIOGA,BORACÉIA - COL. MARISTA,2018-07-01,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-07-08,12
BERTIOGA,BORACÉIA - COL. MARISTA,2018-07-15,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-07-22,2
BERTIOGA,BORACÉIA - COL. MARISTA,2018-07-29,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-08-05,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-08-12,14
BERTIOGA,BORACÉIA - COL. MARISTA,2018-08-19,2
BERTIOGA,BORACÉIA - COL. MARISTA,2018-08-26,110
BERTIOGA,BORACÉIA - COL. MARISTA,2018-09-02,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-09-09,2
BERTIOGA,BORACÉIA - COL. MARISTA,2018-09-16,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-09-23,7
BERTIOGA,BORACÉIA - COL. MARISTA,2018-09-30,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-10-07,7
BERTIOGA,BORACÉIA - COL. MARISTA,2018-10-14,74
BERTIOGA,BORACÉIA - COL. MARISTA,2018-10-21,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-10-28,15
BERTIOGA,BORACÉIA - COL. MARISTA,2018-11-04,32
BERTIOGA,BORACÉIA - COL. MARISTA,2018-11-11,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-11-18,103
BERTIOGA,BORACÉIA - COL. MARISTA,2018-11-25,7
BERTIOGA,BORACÉIA - COL. MARISTA,2018-12-02,1
BERTIOGA,BORACÉIA - COL. MARISTA,2018-12-09,6
